month,model_storm_hours,model_max_Hs,model_mean_Hs,model_mean_dir
1993-01-01,14,5.34715,4.489612142857143,202.9475
1993-03-01,15,5.34617,4.631059333333334,170.03096
1993-04-01,16,5.37032,4.738165625,194.844125
1993-05-01,13,5.49149,4.6395307692307695,201.829
1993-06-01,7,4.64572,4.279997142857143,199.67057142857144
1993-07-01,3,4.10734,4.044666666666667,199.093
1993-08-01,2,4.21598,4.13218,59.171949999999995
1993-09-01,20,4.86179,4.4076889999999995,127.356205
1993-11-01,4,5.21103,4.7184525,199.55025
1993-12-01,2,4.32648,4.297055,124.12
1994-03-01,4,4.19678,4.1267175,196.3275
1994-04-01,3,4.98758,4.775903333333333,207.56433333333334
1994-05-01,34,6.05845,4.581903529411765,170.47285
1994-06-01,11,5.90002,4.923939090909091,195.18781818181816
1994-07-01,26,5.75268,4.7197619230769225,177.33527307692307
1994-08-01,7,5.14374,4.4760042857142865,140.8286857142857
1994-09-01,16,5.52772,4.54187125,190.8995875
1994-10-01,5,5.63212,4.66337,204.6938
1994-11-01,3,4.26835,4.168256666666667,204.49166666666667
1994-12-01,3,4.96433,4.618436666666667,207.35133333333332
1995-03-01,7,6.72362,5.1965,118.69661428571429
1995-04-01,6,4.85955,4.434988333333333,64.04984999999999
1995-05-01,7,4.98536,4.412661428571428,137.01424285714285
1995-06-01,15,4.68372,4.311874,194.51839999999999
1995-07-01,2,4.1839,4.11186,201.437
1995-08-01,2,4.34663,4.2984,202.4835
1995-09-01,13,7.17086,4.850274615384615,132.7207153846154
1995-11-01,3,4.33134,4.30535,202.05133333333333
1996-03-01,3,4.19764,4.109733333333334,199.12933333333334
1996-05-01,3,6.24851,5.516159999999999,199.24300000000002
1996-06-01,22,5.89704,4.732830909090909,195.37645454545455
1996-07-01,12,5.3882,4.33204,97.54651666666666
1996-08-01,12,5.27473,4.565860833333333,161.03716666666665
1996-10-01,3,4.8971,4.370656666666666,210.191
1996-11-01,2,4.28781,4.27064,55.96855
1997-01-01,7,6.08701,5.077467142857143,199.62557142857142
1997-04-01,3,4.20573,4.12773,203.61433333333332
1997-05-01,2,4.4202,4.324015,202.531
1997-06-01,1,4.03667,4.03667,196.969
1997-07-01,10,4.86422,4.444405000000001,201.1534
1997-08-01,13,4.86926,4.489698461538461,178.92307692307693
1997-09-01,12,4.84452,4.239894166666667,194.34574999999998
1997-11-01,6,6.28808,5.186648333333333,204.22616666666667
1998-01-01,12,5.36492,4.487303333333333,196.3685
1998-03-01,4,4.58651,4.332185,163.4114
1998-05-01,12,4.77376,4.2305866666666665,165.94339166666666
1998-06-01,11,5.38884,4.806298181818182,203.19563636363637
1998-07-01,3,4.44741,4.362816666666666,197.221
1998-08-01,5,5.17066,4.624454,201.50119999999998
1998-09-01,1,4.17371,4.17371,203.106
1998-12-01,4,4.78792,4.3803025,207.4755
1999-01-01,1,4.31444,4.31444,195.153
1999-03-01,1,4.1154,4.1154,202.204
1999-04-01,7,5.22059,4.572602857142857,204.7164285714286
1999-05-01,10,6.76239,5.413104,194.4357
1999-07-01,20,6.1611,4.8350275,148.5197
1999-08-01,2,4.4776,4.375579999999999,195.086
1999-09-01,7,4.5849,4.377565714285714,197.31242857142857
1999-12-01,6,5.73823,5.005708333333334,200.66633333333334
2000-01-01,8,4.88751,4.33267125,180.0294125
2000-03-01,2,4.23576,4.208635,164.5115
2000-04-01,5,6.45521,5.412306,196.1088
2000-05-01,4,4.29357,4.1511925,58.17205
2000-06-01,12,5.4482,4.731565,187.12833333333333
2000-08-01,5,6.22455,5.43743,201.027
2000-09-01,5,5.06071,4.686322,188.3956
2000-10-01,8,6.8488,5.7570225,203.074875
2000-11-01,8,6.7559,5.2631875,204.711
2001-01-01,3,4.76757,4.632806666666666,203.28099999999998
2001-04-01,7,5.00398,4.725281428571429,199.78185714285715
2001-05-01,6,4.83473,4.538775,204.1685
2001-06-01,3,4.596,4.408803333333334,201.712
2001-07-01,27,5.09981,4.638132222222222,144.60322222222223
2001-09-01,4,4.19941,4.09966,202.242
2001-11-01,1,4.54273,4.54273,213.698
2002-01-01,1,4.02764,4.02764,117.183
2002-02-01,12,6.59676,5.518275,180.80341666666666
2002-03-01,9,4.3738,4.185147777777778,200.05288888888887
2002-04-01,25,5.71429,4.4275216,176.605
2002-05-01,48,6.0445,4.816916666666667,202.98458333333335
2002-06-01,11,5.54896,4.848724545454545,202.40990909090908
2002-07-01,7,5.45966,4.932645714285714,201.32385714285712
2002-08-01,23,7.11236,5.080336956521739,198.685
2002-09-01,2,4.35183,4.3129,203.5475
2002-11-01,10,5.02143,4.523574,196.638
2002-12-01,4,4.37522,4.2336525,196.4195
2003-03-01,4,4.80826,4.613865,62.314724999999996
2003-04-01,21,5.35063,4.582262380952381,151.03694761904762
2003-05-01,2,4.05951,4.0422,203.4715
2003-06-01,2,4.46963,4.3020700000000005,200.155
2003-07-01,5,4.62047,4.258154,198.792
2003-08-01,2,4.4657,4.23435,54.665400000000005
2003-10-01,9,4.61138,4.326751111111111,205.61244444444444
2003-11-01,1,4.06926,4.06926,198.167
2004-02-01,13,7.07815,5.2637599999999996,194.71346153846156
2004-03-01,12,5.59038,4.57564,204.31625
2004-04-01,11,5.74161,4.805348181818181,200.10945454545455
2004-05-01,3,4.36007,4.2595600000000005,206.06833333333336
2004-06-01,20,6.67088,5.282197,180.545415
2004-07-01,5,4.47523,4.236867999999999,196.7878
2004-08-01,24,4.93846,4.411785416666667,167.80538333333334
2004-09-01,13,5.57548,4.7106,202.7246923076923
2004-10-01,3,4.69355,4.448336666666667,201.48766666666666
2004-11-01,9,4.68454,4.280132222222223,199.68366666666668
2004-12-01,21,5.62757,4.703184285714285,192.8475238095238
2005-04-01,8,4.97162,4.6981375,202.13525
2005-06-01,14,5.5983,4.626590714285714,204.13128571428572
2005-07-01,10,5.50711,4.573363,121.14245000000001
2005-09-01,9,5.07774,4.499651111111111,194.85766666666666
2005-10-01,6,5.27625,5.046776666666667,205.258
2005-12-01,3,4.32373,4.283563333333333,205.60433333333333
2006-01-01,1,4.08659,4.08659,224.124
2006-03-01,13,6.34102,5.1574184615384615,199.68715384615385
2006-05-01,3,4.28924,4.185243333333333,195.6436666666667
2006-06-01,11,5.44233,4.806855454545455,199.12981818181817
2006-07-01,17,5.75735,4.905531176470588,172.3435882352941
2006-08-01,5,4.57824,4.33952,181.9578
2006-10-01,5,6.12674,4.943828,207.2694
2006-12-01,16,5.06983,4.5223949999999995,187.644
2007-04-01,14,6.3072,5.128153571428571,200.71235714285714
2007-05-01,5,4.40317,4.196484,199.5874
2007-06-01,44,6.63343,5.336934545454546,197.55937045454547
2007-07-01,4,4.80596,4.51394,98.28932499999999
2007-08-01,2,4.15012,4.077775,198.5695
2007-10-01,15,4.98612,4.3775173333333335,202.70453333333336
2007-11-01,2,4.16226,4.12324,195.49849999999998
2008-01-01,1,4.22954,4.22954,196.393
2008-02-01,9,4.62477,4.246865555555555,137.2642111111111
2008-04-01,8,4.73879,4.31257,178.6532375
2008-05-01,4,4.7302,4.51783,193.1225
2008-06-01,22,6.21489,4.613615454545454,181.73769545454545
2008-07-01,34,6.6711,5.018633823529412,153.40477647058822
2008-08-01,3,4.2824,4.1726833333333335,196.70433333333335
2009-02-01,4,5.15348,4.508465,152.72575
2009-03-01,15,5.96333,5.007888666666667,200.7806
2009-05-01,38,6.29371,4.819736578947368,189.9028157894737
2009-06-01,16,6.06686,4.75573125,191.304375
2009-07-01,8,6.04651,4.85318875,201.079625
2009-08-01,2,4.17256,4.13425,49.479
2009-10-01,4,4.35975,4.2413875,197.888
2009-11-01,4,4.83752,4.4880275,196.7245
2009-12-01,13,5.5865,4.84191923076923,201.03384615384616
2010-01-01,7,4.39437,4.1792042857142855,199.17442857142856
2010-03-01,5,4.80555,4.38926,200.7384
2010-05-01,20,5.551,4.9105565,142.57599499999998
2010-06-01,11,6.03175,4.780141818181819,197.3959090909091
2010-07-01,6,4.5638,4.280925,165.85183333333333
2010-08-01,13,5.36001,4.817703846153846,139.06836153846155
2010-09-01,20,6.33511,4.6270105,206.72109999999998
2010-10-01,11,6.01555,4.953525454545455,201.60036363636362
2010-11-01,3,4.6591,4.36942,196.58900000000003
2010-12-01,5,4.2393,4.120334,196.0446
2011-01-01,4,4.5338,4.287365,199.323
2011-03-01,3,4.33372,4.257103333333333,147.65866666666668
2011-04-01,28,6.14042,5.158911428571429,200.4600714285714
2011-05-01,6,5.30126,5.082915,205.94583333333333
2011-06-01,10,6.54737,4.99667,200.55360000000002
2011-07-01,18,5.43572,4.830773333333333,194.05405555555555
2011-08-01,35,6.23964,4.971709714285714,181.6112857142857
2011-09-01,14,4.99633,4.559035714285715,198.88757142857142
2011-10-01,9,4.89844,4.533315555555556,121.67924444444445
2011-11-01,12,6.64762,5.062920833333333,202.44299999999998
2012-01-01,4,4.52528,4.3059925,203.60925
2012-02-01,1,4.27357,4.27357,203.749
2012-03-01,8,4.40233,4.179565,196.06212499999998
2012-04-01,5,4.73573,4.329896,207.41620000000003
2012-05-01,13,5.92312,5.091356923076924,202.69823076923078
2012-06-01,54,8.01007,5.303853888888889,193.85364814814815
2012-07-01,3,4.25522,4.1326600000000004,64.91916666666667
2012-08-01,5,4.22502,4.14165,122.86032
2012-09-01,10,4.89788,4.637086999999999,202.74349999999998
2012-10-01,13,4.79914,4.4735123076923085,198.92746153846153
2012-11-01,1,4.10688,4.10688,198.106
2012-12-01,1,4.12644,4.12644,190.059
2013-02-01,4,4.45501,4.40234,203.47775000000001
2013-03-01,3,4.86152,4.63248,199.5533333333333
2013-04-01,1,4.13265,4.13265,99.3552
2013-05-01,13,5.87157,4.792174615384615,189.88653846153846
2013-06-01,28,6.67994,5.188677857142857,147.24636428571426
2013-07-01,8,5.19218,4.6667075,185.7155
2013-09-01,12,5.69163,4.631844166666666,198.00566666666668
2014-01-01,16,6.8356,5.321725,200.963375
2014-03-01,21,8.51956,5.842019523809524,168.78316666666666
2014-04-01,14,6.10129,5.05676,110.33442857142857
2014-05-01,12,5.65691,4.820367500000001,176.45054166666668
2014-06-01,12,5.6719,4.869761666666666,187.14754166666668
2014-07-01,24,5.75022,4.551250416666666,170.92197083333335
2014-08-01,23,8.71274,5.63212,202.54217391304348
2014-09-01,6,6.31625,5.525823333333332,200.552
2014-10-01,13,5.13255,4.505225384615384,204.52984615384614
2014-11-01,5,4.47858,4.302874,202.8086
2015-02-01,11,5.04414,4.543825454545455,202.39118181818182
2015-03-01,19,5.35376,4.692521578947368,137.9217210526316
2015-04-01,32,8.29688,5.8064543749999995,194.18684375
2015-05-01,39,8.13159,5.8091566666666665,194.42453846153845
2015-06-01,34,7.28717,4.8846605882352945,201.9605588235294
2015-07-01,28,6.91288,5.060347857142857,199.0170357142857
2015-08-01,5,4.15794,4.072564,113.67882
2015-09-01,19,7.18124,5.301466315789473,186.72626315789475
2015-10-01,6,6.89395,5.166458333333334,209.07216666666667
2015-11-01,5,5.13546,4.866524,201.3708
2015-12-01,2,4.41872,4.40312,201.6135
2016-01-01,8,6.15918,4.81714,204.117625
2016-02-01,3,4.31822,4.255916666666667,45.7828
2016-03-01,9,6.39859,4.892147777777778,138.35219999999998
2016-04-01,4,5.45437,4.7924050000000005,201.10475
2016-05-01,17,5.43137,4.705455294117647,202.86417647058823
2016-07-01,20,5.53182,4.6311695,167.68060499999999
2016-08-01,3,4.52966,4.317013333333333,195.25633333333334
2016-09-01,11,7.23255,5.935892727272727,188.14309090909092
2016-11-01,4,4.23056,4.10508,173.56324999999998
2016-12-01,3,4.48702,4.294906666666667,202.45166666666668
2017-01-01,26,5.85015,5.002788076923077,163.84070384615384
2017-04-01,21,5.88992,4.844917619047619,143.67480952380953
2017-05-01,21,7.80872,5.613665714285714,200.6527619047619
2017-06-01,9,8.45591,6.450096666666667,201.32466666666667
2017-07-01,9,5.3304,4.54295,176.99644444444445
2017-08-01,1,4.29092,4.29092,136.595
2017-09-01,8,4.72911,4.46114,181.660875
2017-10-01,1,4.03883,4.03883,203.579
2017-12-01,5,6.00554,5.309512,202.6442
2018-01-01,7,5.21604,4.72311,166.35302857142855
2018-02-01,13,5.5215,4.581990769230769,133.0673
2018-03-01,6,5.67479,4.605518333333333,189.6215
2018-04-01,22,5.09706,4.7201022727272735,169.51395454545454
2018-05-01,6,4.96686,4.603583333333334,197.3661666666667
2018-06-01,15,4.62693,4.299146666666667,201.1627333333333
2018-09-01,17,6.8515,5.159970588235294,201.30741176470588
2018-10-01,15,4.84268,4.415381999999999,194.89833333333334
2018-12-01,7,5.1006,4.67514,197.9842857142857
2019-01-01,3,4.13458,4.105153333333333,203.53133333333335
2019-02-01,3,4.46749,4.285329999999999,207.26500000000001
2019-03-01,2,4.46584,4.33821,49.523250000000004
2019-04-01,2,5.49124,5.119705,205.1915
2019-05-01,20,6.43651,5.026722,202.49775
2019-06-01,19,6.94119,4.8413626315789475,197.6633157894737
2019-07-01,21,6.18492,4.879555714285714,197.32066666666668
2019-08-01,15,6.03116,4.8338339999999995,202.33826666666667
2019-09-01,5,4.59816,4.4221699999999995,180.6266
2019-10-01,8,5.32025,4.51455375,204.268125
2019-12-01,6,4.38231,4.288728333333333,195.44483333333332
